model,serve_id,node,gpu_ids,cycle_idx,direction,cold,t_api_start,t_api_return,t_log_marker,t_ready,dur_api_s,dur_engine_s,dur_e2e_s,mem_before_mb,mem_after_mb,inflight_load,inflight_total,inflight_errors,inflight_p99_ms
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,24,wake,False,2026-07-10T09:14:09.685666Z,2026-07-10T09:14:10.390887Z,2026-07-10T09:14:10.246995Z,2026-07-10T09:14:10.416114Z,0.705221,0.626036,0.730449,4070,37932,True,130,4,2178.521
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,25,sleep,False,2026-07-10T09:15:11.943233Z,2026-07-10T09:15:13.070631Z,2026-07-10T09:15:12.929759Z,2026-07-10T09:15:13.075290Z,1.127398,1.061779,1.132057,37932,4070,True,130,4,2255.752
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,25,wake,False,2026-07-10T09:15:14.381406Z,2026-07-10T09:15:15.106623Z,2026-07-10T09:15:14.961081Z,2026-07-10T09:15:15.130846Z,0.725217,0.655987,0.749439,4070,37932,True,130,4,2255.752
dsqwen-7b,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,nscc-ds-4a100-node9,0,1,sleep,True,2026-07-10T09:15:46.527640Z,2026-07-10T09:15:47.702627Z,2026-07-10T09:15:47.562001Z,2026-07-10T09:15:47.708226Z,1.174988,1.09452,1.180587,37892,4070,False,0,0,
dsqwen-7b,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,nscc-ds-4a100-node9,0,1,wake,True,2026-07-10T09:15:49.014430Z,2026-07-10T09:15:49.666943Z,2026-07-10T09:15:49.528231Z,2026-07-10T09:15:49.693508Z,0.652513,0.596285,0.679078,4070,37892,False,0,0,
dsqwen-7b,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,nscc-ds-4a100-node9,0,2,sleep,False,2026-07-10T09:15:51.013397Z,2026-07-10T09:15:52.164184Z,2026-07-10T09:15:52.018635Z,2026-07-10T09:15:52.169473Z,1.150787,1.066852,1.156076,37892,4070,False,0,0,
dsqwen-7b,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,nscc-ds-4a100-node9,0,2,wake,False,2026-07-10T09:15:53.473880Z,2026-07-10T09:15:54.146441Z,2026-07-10T09:15:54.003411Z,2026-07-10T09:15:54.174815Z,0.672562,0.604042,0.700935,5266,37892,False,0,0,
dsqwen-7b,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,nscc-ds-4a100-node9,0,3,sleep,False,2026-07-10T09:15:55.495604Z,2026-07-10T09:15:56.584178Z,2026-07-10T09:15:56.439446Z,2026-07-10T09:15:56.589723Z,1.088574,1.030614,1.094119,36792,4070,False,0,0,
dsqwen-7b,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,nscc-ds-4a100-node9,0,3,wake,False,2026-07-10T09:15:57.889804Z,2026-07-10T09:15:58.553944Z,2026-07-10T09:15:58.410907Z,2026-07-10T09:15:58.576857Z,0.66414,0.597609,0.687053,4070,37892,False,0,0,
dsqwen-7b,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,nscc-ds-4a100-node9,0,4,sleep,False,2026-07-10T09:15:59.877887Z,2026-07-10T09:16:00.998497Z,2026-07-10T09:16:00.853936Z,2026-07-10T09:16:01.006401Z,1.12061,1.038886,1.128514,37892,4070,False,0,0,
