trace,arm,window_ts,model,node9_awake,node10_awake
t1,tre,2026-07-09T17:28:53Z,dsllama-8b,2,0
t1,tre,2026-07-09T17:28:53Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:28:53Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:29:09Z,dsllama-8b,2,0
t1,tre,2026-07-09T17:29:09Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:29:09Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:29:24Z,dsllama-8b,2,0
t1,tre,2026-07-09T17:29:24Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:29:24Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:29:40Z,dsllama-8b,2,0
t1,tre,2026-07-09T17:29:40Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:29:40Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:29:56Z,dsllama-8b,2,0
t1,tre,2026-07-09T17:29:56Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:29:56Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:30:11Z,dsllama-8b,2,0
t1,tre,2026-07-09T17:30:11Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:30:11Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:30:27Z,dsllama-8b,2,0
t1,tre,2026-07-09T17:30:27Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:30:27Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:30:43Z,dsllama-8b,2,0
t1,tre,2026-07-09T17:30:43Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:30:43Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:30:58Z,dsllama-8b,2,0
t1,tre,2026-07-09T17:30:58Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:30:58Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:31:14Z,dsllama-8b,2,0
t1,tre,2026-07-09T17:31:14Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:31:14Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:31:30Z,dsllama-8b,2,0
t1,tre,2026-07-09T17:31:30Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:31:30Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:32:52Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:32:52Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:32:52Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:33:07Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:33:07Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:33:07Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:33:23Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:33:23Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:33:23Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:33:39Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:33:39Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:33:39Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:33:55Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:33:55Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:33:55Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:34:10Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:34:10Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:34:10Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:34:26Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:34:26Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:34:26Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:34:42Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:34:42Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:34:42Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:34:57Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:34:57Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:34:57Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:35:13Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:35:13Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:35:13Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:35:29Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:35:29Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:35:29Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:35:44Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:35:44Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:35:44Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:36:00Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:36:00Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:36:00Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:36:16Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:36:16Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:36:16Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:36:31Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:36:31Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:36:31Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:36:47Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:36:47Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:36:47Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:37:03Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:37:03Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:37:03Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:37:19Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:37:19Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:37:19Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:37:34Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:37:34Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:37:34Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:37:50Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:37:50Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:37:50Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:38:06Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:38:06Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:38:06Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:38:21Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:38:21Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:38:21Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:38:37Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:38:37Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:38:37Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:38:53Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:38:53Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:38:53Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:39:08Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:39:08Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:39:08Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:39:24Z,dsllama-8b,0,1
