timestamp,serve_id,model,node,gpu_ids,state,source
2026-07-09T17:34:46.397196831Z,dsllama-8b-nscc-ds-4a100-node9-gpu-3-689cdb87dd-dn7rq,dsllama-8b,nscc-ds-4a100-node9,3,sleeping,vllm_sleep_complete
2026-07-09T17:37:54.935565551Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-1-6cdfd4649-gjpqf,dsqwen-7b,nscc-ds-4a100-node9,1,awake,vllm_wake_complete
2026-07-09T17:37:58.068603338Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-2-6f496c6d5d-f5fkx,dsqwen-7b,nscc-ds-4a100-node9,2,awake,vllm_wake_complete
2026-07-09T17:38:04.961918894Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-3-9598d9955-4fnqv,dsqwen-7b,nscc-ds-4a100-node9,3,awake,vllm_wake_complete
2026-07-09T17:54:37.807917427Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-3-9598d9955-4fnqv,dsqwen-7b,nscc-ds-4a100-node9,3,sleeping,vllm_sleep_complete
2026-07-09T17:54:38.925455714Z,dsllama-8b-nscc-ds-4a100-node9-gpu-0-5787b4856f-x29t9,dsllama-8b,nscc-ds-4a100-node9,0,sleeping,vllm_sleep_complete
2026-07-09T17:54:39.139448671Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-2-6f496c6d5d-f5fkx,dsqwen-7b,nscc-ds-4a100-node9,2,sleeping,vllm_sleep_complete
2026-07-09T17:54:40.782692721Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-1-6cdfd4649-gjpqf,dsqwen-7b,nscc-ds-4a100-node9,1,sleeping,vllm_sleep_complete
2026-07-09T17:57:40.973089774Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,dsqwen-7b,nscc-ds-4a100-node9,0,awake,vllm_wake_complete
2026-07-09T17:57:47.545746051Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-1-6cdfd4649-gjpqf,dsqwen-7b,nscc-ds-4a100-node9,1,awake,vllm_wake_complete
2026-07-09T17:58:01.080410352Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-2-6f496c6d5d-f5fkx,dsqwen-7b,nscc-ds-4a100-node9,2,awake,vllm_wake_complete
2026-07-09T18:14:02.019232597Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-2-6f496c6d5d-f5fkx,dsqwen-7b,nscc-ds-4a100-node9,2,sleeping,vllm_sleep_complete
